id,a,e,i,spec_B
a0000001,2.76916515450648,.07600902910070946,10.59406704424526,C
a0000002,2.772465921978979,.2303368211958249,34.8362344173523,B
a0000003,2.669149516961171,.2569423201751032,12.98891912630602,Sk
a0000004,2.361417895877277,.08872145950956178,7.141770811873426,V
a0000005,2.574248918456554,.191094508984634,5.366988248754509,S
a0000006,2.425159989654524,.2030071093939073,14.73790110045524,S
a0000007,2.385333813853889,.231205791651457,5.523651386735914,S
a0000010,3.14153917911499,.1124606576702566,3.831560034123068,C
a0000011,2.453109375852077,.1004722734579138,4.62988577124323,Sk
a0000012,2.334315086445922,.2201715820847041,8.373073838902746,L
a0000013,2.575981085345467,.08512143168233768,16.53612545547192,Ch
a0000014,2.585567305441197,.1665823107539034,9.121645531403171,S
a0000015,2.644100304490733,.1860843620330185,11.75242982472844,S
a0000016,2.923813680217348,.1335684148335463,3.096005208804772,X
a0000017,2.470354085478554,.1330315938582089,5.591204997025656,Sl
a0000018,2.29665350984091,.2176743622521839,10.12873129564968,S
a0000019,2.442710697047048,.1580468510700675,1.573782207412067,Ch
a0000020,2.409781791609093,.1420667051541423,.7087512033102101,S
a0000021,2.434958096420116,.1633561118067609,3.064055490537624,Xk
a0000022,2.914849073772346,.09767688894721703,13.71531190288359,X
a0000023,2.625683427708691,.2349839170984181,10.11425811491532,S
a0000024,3.13617131483923,.1247427752533025,.7515879347196438,B
a0000025,2.400160565214944,.2546138982140402,21.6048402596762,S
a0000026,2.654330892804783,.09014487999156065,3.563412745630886,S
a0000027,2.346664413630038,.1732258505576394,1.583713702060567,S
a0000028,2.775765930379437,.1518626130240446,9.429548932055635,S
a0000029,2.554113562629857,.0726955355107702,6.082523343833398,S
a0000030,2.365572136802961,.1275809997701029,2.095744438739231,Sl
a0000031,3.15540230940322,.220857013438671,26.30334740932832,Cb
a0000032,2.588507764324736,.08090139139834084,5.52395293096486,S
a0000033,2.873455536116871,.3313462799011633,1.852842637476108,Sq
a0000034,2.687383409279481,.105948046876928,5.496016768837387,Ch
a0000035,2.994071834875715,.2255881576779662,7.93271357081255,C
a0000037,2.64228330584972,.1756051692749518,3.070810676589737,S
a0000038,2.739454925654882,.1549825281214745,6.970974779540068,Cgh
a0000039,2.769319009699727,.1114755598748344,10.36898039874332,S
a0000040,2.267246519451427,.04702133026568632,4.257400416930347,S
a0000041,2.760438709250479,.2754175356653898,15.79210012048468,Ch
a0000042,2.441703518969128,.2228231523061669,8.514622308397911,L
a0000043,2.203475093031204,.1683218786649913,3.47139649784909,Sk
a0000044,2.423451098520279,.147922910861728,3.706552358884731,Xc
a0000045,2.720882625355706,.08443839011920974,6.603527097930387,C
a0000046,2.525788445245102,.1720022207911278,2.349673753913108,Xc
